"Step","Fcrimnet_20datasetBaseline - test/micro_f1","Fcrimnet_20datasetBaseline - test/micro_f1__MIN","Fcrimnet_20datasetBaseline - test/micro_f1__MAX","Fcrimnet_FulldatasetBaseline - test/micro_f1","Fcrimnet_FulldatasetBaseline - test/micro_f1__MIN","Fcrimnet_FulldatasetBaseline - test/micro_f1__MAX"
"1","0.5835070255507241","0.5835070255507241","0.5835070255507241","0.49180651884860027","0.49180651884860027","0.49180651884860027"
"2","0.5423419700291084","0.5423419700291084","0.5423419700291084","0.4828134545585223","0.4828134545585223","0.4828134545585223"
"3","0.5243738096093722","0.5243738096093722","0.5243738096093722","0.4659952564056492","0.4659952564056492","0.4659952564056492"
"4","0.5110953390591871","0.5110953390591871","0.5110953390591871","0.46823229237790637","0.46823229237790637","0.46823229237790637"
"5","0.5008355194595178","0.5008355194595178","0.5008355194595178","0.4732813454558522","0.4732813454558522","0.4732813454558522"
"6","0.4876648578718511","0.4876648578718511","0.4876648578718511","0.47561720631041793","0.47561720631041793","0.47561720631041793"
"7","0.4898839256836885","0.4898839256836885","0.4898839256836885","0.4810256225967585","0.4810256225967585","0.4810256225967585"
"8","0.4868742588133827","0.4868742588133827","0.4868742588133827","0.4891202788658497","0.4891202788658497","0.4891202788658497"
"9","0.48003737377367306","0.48003737377367306","0.48003737377367306","0.48776368275415966","0.48776368275415966","0.48776368275415966"
"10","0.4906116361806878","0.4906116361806878","0.4906116361806878","0.488760915657455","0.488760915657455","0.488760915657455"
"11","0.47319150465375354","0.47319150465375354","0.47319150465375354","0.4952653897293995","0.4952653897293995","0.4952653897293995"
"12","0.47203255830668056","0.47203255830668056","0.47203255830668056","0.500341395047975","0.500341395047975","0.500341395047975"
"13","0.47449419628418443","0.47449419628418443","0.47449419628418443","0.4992633054227908","0.4992633054227908","0.4992633054227908"
"14","0.4661030653681676","0.4661030653681676","0.4661030653681676","0.49557983253674487","0.49557983253674487","0.49557983253674487"
"15","0.4872156538613577","0.4872156538613577","0.4872156538613577","0.5005839652136415","0.5005839652136415","0.5005839652136415"
"16","0.4906385884213174","0.4906385884213174","0.4906385884213174","0.5063517447083767","0.5063517447083767","0.5063517447083767"
