"Step","Fcrimnet_20datasetBaseline - train/lossFcrimnet_20datasetBaseline - train/loss","Fcrimnet_20datasetBaseline - train/loss__MIN","Fcrimnet_20datasetBaseline - train/loss__MAX","Fcrimnet_FulldatasetBaseline - train/loss","Fcrimnet_FulldatasetBaseline - train/loss__MIN","Fcrimnet_FulldatasetBaseline - train/loss__MAX"
"1","2.398848084259033","2.398848084259033","2.398848084259033","1.7675465487817985","1.7675465487817985","1.7675465487817985"
"2","2.0278122870445254","2.0278122870445254","2.0278122870445254","0.9880219466945674","0.9880219466945674","0.9880219466945674"
"3","1.6994380051612856","1.6994380051612856","1.6994380051612856","0.6345433946179574","0.6345433946179574","0.6345433946179574"
"4","1.4684668022155762","1.4684668022155762","1.4684668022155762","0.43348499517079164","0.43348499517079164","0.43348499517079164"
"5","1.3013276586532594","1.3013276586532594","1.3013276586532594","0.31200342160325195","0.31200342160325195","0.31200342160325195"
"6","1.1685053119182587","1.1685053119182587","1.1685053119182587","0.23448630927211603","0.23448630927211603","0.23448630927211603"
"7","1.0564272716522218","1.0564272716522218","1.0564272716522218","0.1810725906395155","0.1810725906395155","0.1810725906395155"
"8","0.9577932057380676","0.9577932057380676","0.9577932057380676","0.1447810843982347","0.1447810843982347","0.1447810843982347"
"9","0.874761527299881","0.874761527299881","0.874761527299881","0.11932992042819186","0.11932992042819186","0.11932992042819186"
"10","0.7992123988628388","0.7992123988628388","0.7992123988628388","0.10021057811414173","0.10021057811414173","0.10021057811414173"
"11","0.733162556219101","0.733162556219101","0.733162556219101","0.08559058568658787","0.08559058568658787","0.08559058568658787"
"12","0.6700218538045883","0.6700218538045883","0.6700218538045883","0.07460572764157214","0.07460572764157214","0.07460572764157214"
"13","0.6206416389465331","0.6206416389465331","0.6206416389465331","0.06520837338499756","0.06520837338499756","0.06520837338499756"
"14","0.5695289803743363","0.5695289803743363","0.5695289803743363","0.05830652254144699","0.05830652254144699","0.05830652254144699"
"15","0.5268854640245438","0.5268854640245438","0.5268854640245438","0.052184249661381577","0.052184249661381577","0.052184249661381577"
"16","0.49060330725908285","0.49060330725908285","0.49060330725908285","0.047024659709956285","0.047024659709956285","0.047024659709956285"
"17","0.4559040686011315","0.4559040686011315","0.4559040686011315","0.042786597901670276","0.042786597901670276","0.042786597901670276"
"18","0.42382592267990116","0.42382592267990116","0.42382592267990116","0.03931765920470425","0.03931765920470425","0.03931765920470425"
"19","0.3963589619636536","0.3963589619636536","0.3963589619636536","0.03619963692299079","0.03619963692299079","0.03619963692299079"
"20","0.3680655593037605","0.3680655593037605","0.3680655593037605","0.03323828731842207","0.03323828731842207","0.03323828731842207"
"21","0.3457230785012245","0.3457230785012245","0.3457230785012245","0.030836395434439473","0.030836395434439473","0.030836395434439473"
"22","0.3251228866159916","0.3251228866159916","0.3251228866159916","0.02835981803845004","0.02835981803845004","0.02835981803845004"
"23","0.304892732745409","0.304892732745409","0.304892732745409","0.02684125496488048","0.02684125496488048","0.02684125496488048"
"24","0.28642359827160835","0.28642359827160835","0.28642359827160835","0.025305892493773314","0.025305892493773314","0.025305892493773314"
"25","0.26905526101589206","0.26905526101589206","0.26905526101589206","0.024016018041242555","0.024016018041242555","0.024016018041242555"
"26","0.2521951977908612","0.2521951977908612","0.2521951977908612","0.0226738094523007","0.0226738094523007","0.0226738094523007"
"27","0.2379472000360489","0.2379472000360489","0.2379472000360489","0.02134465209521849","0.02134465209521849","0.02134465209521849"
"28","0.22548000749349595","0.22548000749349595","0.22548000749349595","0.02003141192418238","0.02003141192418238","0.02003141192418238"
"29","0.21457940733879807","0.21457940733879807","0.21457940733879807","0.019340742779238182","0.019340742779238182","0.019340742779238182"
"30","0.2020995474040508","0.2020995474040508","0.2020995474040508","0.018434586196749522","0.018434586196749522","0.018434586196749522"
"31","0.1914179698973894","0.1914179698973894","0.1914179698973894","0.01762724385672919","0.01762724385672919","0.01762724385672919"
"32","0.18070129462182521","0.18070129462182521","0.18070129462182521","0.01656699627619233","0.01656699627619233","0.01656699627619233"
"33","0.17348701219856738","0.17348701219856738","0.17348701219856738","0.016322443422025417","0.016322443422025417","0.016322443422025417"
"34","0.163173849183321","0.163173849183321","0.163173849183321","0.015379503448732538","0.015379503448732538","0.015379503448732538"
"35","0.15526357681304218","0.15526357681304218","0.15526357681304218","0.014924454431920276","0.014924454431920276","0.014924454431920276"
"36","0.1498319333896041","0.1498319333896041","0.1498319333896041","0.014550662502864856","0.014550662502864856","0.014550662502864856"
"37","0.14322802458107473","0.14322802458107473","0.14322802458107473","0.01391463710168506","0.01391463710168506","0.01391463710168506"
"38","0.13602545483857395","0.13602545483857395","0.13602545483857395","0.013604633509758095","0.013604633509758095","0.013604633509758095"
"39","0.12896583242416385","0.12896583242416385","0.12896583242416385","0.013046717698511373","0.013046717698511373","0.013046717698511373"
"40","0.12374470932260156","0.12374470932260156","0.12374470932260156","0.012594005177953812","0.012594005177953812","0.012594005177953812"
"41","0.11891997275426984","0.11891997275426984","0.11891997275426984","0.012225123908979358","0.012225123908979358","0.012225123908979358"
"42","0.11454159949943425","0.11454159949943425","0.11454159949943425","0.011885853227878244","0.011885853227878244","0.011885853227878244"
"43","0.10848862353637817","0.10848862353637817","0.10848862353637817","0.0117565941050185","0.0117565941050185","0.0117565941050185"
"44","0.1028228345282376","0.1028228345282376","0.1028228345282376","0.011361585969738883","0.011361585969738883","0.011361585969738883"
"45","0.10041745860651136","0.10041745860651136","0.10041745860651136","0.01112044292425832","0.01112044292425832","0.01112044292425832"
"46","0.09787872164696455","0.09787872164696455","0.09787872164696455","0.010719705732481485","0.010719705732481485","0.010719705732481485"
"47","0.0941394537113607","0.0941394537113607","0.0941394537113607","0.010624744765763892","0.010624744765763892","0.010624744765763892"
"48","0.08982723757773639","0.08982723757773639","0.08982723757773639","0.010227252168709905","0.010227252168709905","0.010227252168709905"
"49","0.08702158626839518","0.08702158626839518","0.08702158626839518","0.010234744739809771","0.010234744739809771","0.010234744739809771"
"50","0.08332313270866872","0.08332313270866872","0.08332313270866872","0.009899064391816958","0.009899064391816958","0.009899064391816958"
"51","0.08076120998784901","0.08076120998784901","0.08076120998784901","0.00980467855904858","0.00980467855904858","0.00980467855904858"
"52","0.07795589532032608","0.07795589532032608","0.07795589532032608","","",""
"53","0.07526953949518501","0.07526953949518501","0.07526953949518501","","",""
"54","0.07263124186769128","0.07263124186769128","0.07263124186769128","","",""
"55","0.07074971532262861","0.07074971532262861","0.07074971532262861","","",""
"56","0.06919702064674349","0.06919702064674349","0.06919702064674349","","",""
"57","0.06575395317487419","0.06575395317487419","0.06575395317487419","","",""
"58","0.06504803585223855","0.06504803585223855","0.06504803585223855","","",""
"59","0.061556645450368534","0.061556645450368534","0.061556645450368534","","",""
"60","0.05982680481038988","0.05982680481038988","0.05982680481038988","","",""
"61","0.058943021906912335","0.058943021906912335","0.058943021906912335","","",""
"62","0.056408796845749024","0.056408796845749024","0.056408796845749024","","",""
"63","0.056189309921860706","0.056189309921860706","0.056189309921860706","","",""
"64","0.05364989640917629","0.05364989640917629","0.05364989640917629","","",""
"65","0.05105959847457707","0.05105959847457707","0.05105959847457707","","",""
"66","0.04967803453691304","0.04967803453691304","0.04967803453691304","","",""
"67","0.04935888882074505","0.04935888882074505","0.04935888882074505","","",""
"68","0.04864934926498681","0.04864934926498681","0.04864934926498681","","",""
"69","0.04703005958870053","0.04703005958870053","0.04703005958870053","","",""
"70","0.04516591618675739","0.04516591618675739","0.04516591618675739","","",""
"71","0.04469229467753322","0.04469229467753322","0.04469229467753322","","",""
"72","0.04310335631500929","0.04310335631500929","0.04310335631500929","","",""
"73","0.04112593296486885","0.04112593296486885","0.04112593296486885","","",""
"74","0.03979618533775211","0.03979618533775211","0.03979618533775211","","",""
"75","0.040444719374179844","0.040444719374179844","0.040444719374179844","","",""
"76","0.038907959564588965","0.038907959564588965","0.038907959564588965","","",""
"77","0.038270987742394215","0.038270987742394215","0.038270987742394215","","",""
"78","0.036397378359735014","0.036397378359735014","0.036397378359735014","","",""
"79","0.03652744200695306","0.03652744200695306","0.03652744200695306","","",""
"80","0.03506923810634763","0.03506923810634763","0.03506923810634763","","",""
"81","0.03468602174408734","0.03468602174408734","0.03468602174408734","","",""
"82","0.033938082138448955","0.033938082138448955","0.033938082138448955","","",""
"83","0.03412503187060356","0.03412503187060356","0.03412503187060356","","",""
"84","0.032434769641608","0.032434769641608","0.032434769641608","","",""
"85","0.032851580761373046","0.032851580761373046","0.032851580761373046","","",""
