"Step","meta_fed_r50_iid_20pct - test/micro_auc","meta_fed_r50_iid_20pct - test/micro_auc__MIN","meta_fed_r50_iid_20pct - test/micro_auc__MAX"
"1","0.5108335015188649","0.5108335015188649","0.5108335015188649"
"2","0.5261825257777394","0.5261825257777394","0.5261825257777394"
"3","0.5287598378018995","0.5287598378018995","0.5287598378018995"
"4","0.5275258325033576","0.5275258325033576","0.5275258325033576"
"5","0.5189451199825237","0.5189451199825237","0.5189451199825237"
"6","0.5351936819747525","0.5351936819747525","0.5351936819747525"
"7","0.5261381225279744","0.5261381225279744","0.5261381225279744"
"8","0.5368498926762435","0.5368498926762435","0.5368498926762435"
"9","0.5386275637707182","0.5386275637707182","0.5386275637707182"
"10","0.5483325485527308","0.5483325485527308","0.5483325485527308"
"11","0.5309922535762225","0.5309922535762225","0.5309922535762225"
"12","0.5324704745536805","0.5324704745536805","0.5324704745536805"
"13","0.5600377461800907","0.5600377461800907","0.5600377461800907"
"14","0.5570997775633123","0.5570997775633123","0.5570997775633123"
"15","0.5711202608913811","0.5711202608913811","0.5711202608913811"
"16","0.5808014675889343","0.5808014675889343","0.5808014675889343"
"17","0.5742261450265795","0.5742261450265795","0.5742261450265795"
"18","0.5823772983691807","0.5823772983691807","0.5823772983691807"
"19","0.5908117019440576","0.5908117019440576","0.5908117019440576"
"20","0.5548906867063961","0.5548906867063961","0.5548906867063961"
"21","0.5722164913391053","0.5722164913391053","0.5722164913391053"
"22","0.6010863093299179","0.6010863093299179","0.6010863093299179"
"23","0.5936638919580476","0.5936638919580476","0.5936638919580476"
"24","0.6134969585537131","0.6134969585537131","0.6134969585537131"
"25","0.6030550027966441","0.6030550027966441","0.6030550027966441"
"26","0.6056760146382806","0.6056760146382806","0.6056760146382806"
"27","0.6086058832847493","0.6086058832847493","0.6086058832847493"
"28","0.6419375751018166","0.6419375751018166","0.6419375751018166"
"29","0.6471200603046064","0.6471200603046064","0.6471200603046064"
"30","0.6305263846819278","0.6305263846819278","0.6305263846819278"
