"Step","Fcrimnet_20datasetBaseline - test/micro_auc","Fcrimnet_20datasetBaseline - test/micro_auc__MIN","Fcrimnet_20datasetBaseline - test/micro_auc__MAX","Fcrimnet_FulldatasetBaseline - test/micro_auc","Fcrimnet_FulldatasetBaseline - test/micro_auc__MIN","Fcrimnet_FulldatasetBaseline - test/micro_auc__MAX"
"21","0.8500499844237366","0.8500499844237366","0.8500499844237366","0.8584832872127933","0.8584832872127933","0.8584832872127933"
"22","0.8584607767493658","0.8584607767493658","0.8584607767493658","0.8583556192286966","0.8583556192286966","0.8583556192286966"
"23","0.8548139455256376","0.8548139455256376","0.8548139455256376","0.8568835781078836","0.8568835781078836","0.8568835781078836"
"24","0.8547880522269848","0.8547880522269848","0.8547880522269848","0.8588526112147435","0.8588526112147435","0.8588526112147435"
"25","0.8524189826157585","0.8524189826157585","0.8524189826157585","0.8595698181465129","0.8595698181465129","0.8595698181465129"
"26","0.8553779833345729","0.8553779833345729","0.8553779833345729","0.8549087646088837","0.8549087646088837","0.8549087646088837"
"27","0.8514112711684791","0.8514112711684791","0.8514112711684791","0.8600323092427379","0.8600323092427379","0.8600323092427379"
"28","0.849424834055795","0.849424834055795","0.849424834055795","0.8587798724778409","0.8587798724778409","0.8587798724778409"
"29","0.8589651672074583","0.8589651672074583","0.8589651672074583","0.8602142079000836","0.8602142079000836","0.8602142079000836"
"30","0.8517508059551","0.8517508059551","0.8517508059551","0.8564708776120062","0.8564708776120062","0.8564708776120062"
"31","0.8533621128763549","0.8533621128763549","0.8533621128763549","0.8583439842933641","0.8583439842933641","0.8583439842933641"
"32","0.8561455081692738","0.8561455081692738","0.8561455081692738","0.8576482715774867","0.8576482715774867","0.8576482715774867"
"33","0.8561264407907424","0.8561264407907424","0.8561264407907424","0.8579050672653117","0.8579050672653117","0.8579050672653117"
"34","0.8582724927507196","0.8582724927507196","0.8582724927507196","0.8564974510694636","0.8564974510694636","0.8564974510694636"
"35","0.8544752484199145","0.8544752484199145","0.8544752484199145","0.8603922666001796","0.8603922666001796","0.8603922666001796"
"36","0.8560623405459374","0.8560623405459374","0.8560623405459374","0.861281462301247","0.861281462301247","0.861281462301247"
"37","0.8576013632508492","0.8576013632508492","0.8576013632508492","0.8625326987355003","0.8625326987355003","0.8625326987355003"
"38","0.8576804405989261","0.8576804405989261","0.8576804405989261","0.8595152470942897","0.8595152470942897","0.8595152470942897"
"39","0.8533317481133813","0.8533317481133813","0.8533317481133813","0.8609167771327821","0.8609167771327821","0.8609167771327821"
"40","0.8532288703014199","0.8532288703014199","0.8532288703014199","0.8598301062415116","0.8598301062415116","0.8598301062415116"
"41","0.8526870889623241","0.8526870889623241","0.8526870889623241","0.8603541370118976","0.8603541370118976","0.8603541370118976"
"42","0.8539992760811593","0.8539992760811593","0.8539992760811593","0.8610438860255154","0.8610438860255154","0.8610438860255154"
"43","0.851418133797811","0.851418133797811","0.851418133797811","0.8597589811732005","0.8597589811732005","0.8597589811732005"
"44","0.8514388949936352","0.8514388949936352","0.8514388949936352","0.8602838292753195","0.8602838292753195","0.8602838292753195"
"45","0.847803898903148","0.847803898903148","0.847803898903148","0.8604103772171705","0.8604103772171705","0.8604103772171705"
"46","0.8505102868842435","0.8505102868842435","0.8505102868842435","0.8617327783563687","0.8617327783563687","0.8617327783563687"
"47","0.8570966608715695","0.8570966608715695","0.8570966608715695","0.8599935382568521","0.8599935382568521","0.8599935382568521"
"48","0.8523339243144217","0.8523339243144217","0.8523339243144217","0.8595212161919492","0.8595212161919492","0.8595212161919492"
"49","0.8566432292514607","0.8566432292514607","0.8566432292514607","0.8598916725760277","0.8598916725760277","0.8598916725760277"
"50","0.8555551535351857","0.8555551535351857","0.8555551535351857","0.8590845800212227","0.8590845800212227","0.8590845800212227"
