"Step","Fcrimnet_20datasetBaseline - train/loss","Fcrimnet_20datasetBaseline - train/loss__MIN","Fcrimnet_20datasetBaseline - train/loss__MAX"
"1","2.398848084259033","2.398848084259033","2.398848084259033"
"2","2.0278122870445254","2.0278122870445254","2.0278122870445254"
"3","1.6994380051612856","1.6994380051612856","1.6994380051612856"
"4","1.4684668022155762","1.4684668022155762","1.4684668022155762"
"5","1.3013276586532594","1.3013276586532594","1.3013276586532594"
"6","1.1685053119182587","1.1685053119182587","1.1685053119182587"
"7","1.0564272716522218","1.0564272716522218","1.0564272716522218"
"8","0.9577932057380676","0.9577932057380676","0.9577932057380676"
"9","0.874761527299881","0.874761527299881","0.874761527299881"
"10","0.7992123988628388","0.7992123988628388","0.7992123988628388"
"11","0.733162556219101","0.733162556219101","0.733162556219101"
"12","0.6700218538045883","0.6700218538045883","0.6700218538045883"
"13","0.6206416389465331","0.6206416389465331","0.6206416389465331"
"14","0.5695289803743363","0.5695289803743363","0.5695289803743363"
"15","0.5268854640245438","0.5268854640245438","0.5268854640245438"
"16","0.49060330725908285","0.49060330725908285","0.49060330725908285"
"17","0.4559040686011315","0.4559040686011315","0.4559040686011315"
"18","0.42382592267990116","0.42382592267990116","0.42382592267990116"
"19","0.3963589619636536","0.3963589619636536","0.3963589619636536"
"20","0.3680655593037605","0.3680655593037605","0.3680655593037605"
"21","0.3457230785012245","0.3457230785012245","0.3457230785012245"
"22","0.3251228866159916","0.3251228866159916","0.3251228866159916"
"23","0.304892732745409","0.304892732745409","0.304892732745409"
"24","0.28642359827160835","0.28642359827160835","0.28642359827160835"
"25","0.26905526101589206","0.26905526101589206","0.26905526101589206"
"26","0.2521951977908612","0.2521951977908612","0.2521951977908612"
"27","0.2379472000360489","0.2379472000360489","0.2379472000360489"
"28","0.22548000749349595","0.22548000749349595","0.22548000749349595"
"29","0.21457940733879807","0.21457940733879807","0.21457940733879807"
"30","0.2020995474040508","0.2020995474040508","0.2020995474040508"
"31","0.1914179698973894","0.1914179698973894","0.1914179698973894"
"32","0.18070129462182521","0.18070129462182521","0.18070129462182521"
"33","0.17348701219856738","0.17348701219856738","0.17348701219856738"
"34","0.163173849183321","0.163173849183321","0.163173849183321"
"35","0.15526357681304218","0.15526357681304218","0.15526357681304218"
"36","0.1498319333896041","0.1498319333896041","0.1498319333896041"
"37","0.14322802458107473","0.14322802458107473","0.14322802458107473"
"38","0.13602545483857395","0.13602545483857395","0.13602545483857395"
