"Step","meta_fed_r50_iid_20pct - test/weighted_auc","meta_fed_r50_iid_20pct - test/weighted_auc__MIN","meta_fed_r50_iid_20pct - test/weighted_auc__MAX"
"1","0.5315250853192414","0.5315250853192414","0.5315250853192414"
"2","0.5346600780088044","0.5346600780088044","0.5346600780088044"
"3","0.5401003761903168","0.5401003761903168","0.5401003761903168"
"4","0.5379053593635001","0.5379053593635001","0.5379053593635001"
"5","0.5456915550748304","0.5456915550748304","0.5456915550748304"
"6","0.5473642947585394","0.5473642947585394","0.5473642947585394"
"7","0.529240494389994","0.529240494389994","0.529240494389994"
"8","0.5146452389524783","0.5146452389524783","0.5146452389524783"
"9","0.5258642789058146","0.5258642789058146","0.5258642789058146"
"10","0.5499904296498809","0.5499904296498809","0.5499904296498809"
"11","0.5493850308776179","0.5493850308776179","0.5493850308776179"
"12","0.5422148681601315","0.5422148681601315","0.5422148681601315"
"13","0.5380215908475894","0.5380215908475894","0.5380215908475894"
"14","0.5192290501885912","0.5192290501885912","0.5192290501885912"
"15","0.5418440250964917","0.5418440250964917","0.5418440250964917"
"16","0.5504977171807107","0.5504977171807107","0.5504977171807107"
"17","0.5363023327802832","0.5363023327802832","0.5363023327802832"
"18","0.5476881000854984","0.5476881000854984","0.5476881000854984"
"19","0.5416937280306884","0.5416937280306884","0.5416937280306884"
"20","0.5162838051074027","0.5162838051074027","0.5162838051074027"
"21","0.5312669673123273","0.5312669673123273","0.5312669673123273"
"22","0.5234126694971021","0.5234126694971021","0.5234126694971021"
"23","0.5392317834049791","0.5392317834049791","0.5392317834049791"
"24","0.5438023402235639","0.5438023402235639","0.5438023402235639"
"25","0.5587512993415826","0.5587512993415826","0.5587512993415826"
"26","0.5311704598633381","0.5311704598633381","0.5311704598633381"
"27","0.5363804806649878","0.5363804806649878","0.5363804806649878"
"28","0.566570368128442","0.566570368128442","0.566570368128442"
"29","0.5549688391367986","0.5549688391367986","0.5549688391367986"
"30","0.5419496538945855","0.5419496538945855","0.5419496538945855"
"31","0.4968257780081809","0.4968257780081809","0.4968257780081809"
"32","0.5367958554499007","0.5367958554499007","0.5367958554499007"
"33","0.5598682521997094","0.5598682521997094","0.5598682521997094"
"34","0.5812889192800873","0.5812889192800873","0.5812889192800873"
"35","0.5630893081555399","0.5630893081555399","0.5630893081555399"
"36","0.544025247959046","0.544025247959046","0.544025247959046"
"37","0.562461722572239","0.562461722572239","0.562461722572239"
"38","0.5364132122410082","0.5364132122410082","0.5364132122410082"
"39","0.5177646767763132","0.5177646767763132","0.5177646767763132"
"40","0.5723091529741665","0.5723091529741665","0.5723091529741665"
"41","0.5834350880656669","0.5834350880656669","0.5834350880656669"
"42","0.5218498424966832","0.5218498424966832","0.5218498424966832"
"43","0.5724676966252781","0.5724676966252781","0.5724676966252781"
"44","0.5447828603636319","0.5447828603636319","0.5447828603636319"
"45","0.547149052887997","0.547149052887997","0.547149052887997"
"46","0.5985981766161652","0.5985981766161652","0.5985981766161652"
"47","0.5685357917867673","0.5685357917867673","0.5685357917867673"
"48","0.5404357069859737","0.5404357069859737","0.5404357069859737"
"49","0.5602541213505793","0.5602541213505793","0.5602541213505793"
"50","0.5861552067458122","0.5861552067458122","0.5861552067458122"
"51","0.5814509242739336","0.5814509242739336","0.5814509242739336"
"52","0.5808409595123619","0.5808409595123619","0.5808409595123619"
"53","0.5773438358486401","0.5773438358486401","0.5773438358486401"
"54","0.547682695879469","0.547682695879469","0.547682695879469"
"55","0.5514595813246539","0.5514595813246539","0.5514595813246539"
"56","0.5713298278129499","0.5713298278129499","0.5713298278129499"
"57","0.5729440069118308","0.5729440069118308","0.5729440069118308"
"58","0.5470810055034158","0.5470810055034158","0.5470810055034158"
"59","0.5667912020402747","0.5667912020402747","0.5667912020402747"
"60","0.5341316588716326","0.5341316588716326","0.5341316588716326"
"61","0.5833270622268814","0.5833270622268814","0.5833270622268814"
"62","0.589719756052674","0.589719756052674","0.589719756052674"
"63","0.5859901441488228","0.5859901441488228","0.5859901441488228"
"64","0.5737896235370179","0.5737896235370179","0.5737896235370179"
"65","0.5691231968553647","0.5691231968553647","0.5691231968553647"
"66","0.5713714840408138","0.5713714840408138","0.5713714840408138"
"67","0.5410686888445667","0.5410686888445667","0.5410686888445667"
"68","0.5736819398159658","0.5736819398159658","0.5736819398159658"
"69","0.580714736332622","0.580714736332622","0.580714736332622"
"70","0.5791955057700859","0.5791955057700859","0.5791955057700859"
"71","0.5438056553871479","0.5438056553871479","0.5438056553871479"
"72","0.5954339649141631","0.5954339649141631","0.5954339649141631"
"73","0.573706541863128","0.573706541863128","0.573706541863128"
"74","0.5896653067311755","0.5896653067311755","0.5896653067311755"
"75","0.5750985808308717","0.5750985808308717","0.5750985808308717"
"76","0.5721464497199581","0.5721464497199581","0.5721464497199581"
"77","0.5670741601251827","0.5670741601251827","0.5670741601251827"
"78","0.5923789277408047","0.5923789277408047","0.5923789277408047"
"79","0.5686296641166341","0.5686296641166341","0.5686296641166341"
"80","0.5806958629491792","0.5806958629491792","0.5806958629491792"
"81","0.5816333027501108","0.5816333027501108","0.5816333027501108"
"82","0.5584467940075433","0.5584467940075433","0.5584467940075433"
"83","0.5865228099560971","0.5865228099560971","0.5865228099560971"
"84","0.5955153424427957","0.5955153424427957","0.5955153424427957"
