
[Clipping] NormalVideos reduced from 947768 → 80000
[Clipping] Total TRAIN samples after clipping: 398577

Train class distribution (after clipping):
  [00] Abuse          : 19076
  [01] Arrest         : 26397
  [02] Arson          : 24421
  [03] Assault        : 10360
  [04] Burglary       : 39504
  [05] Explosion      : 18753
  [06] Fighting       : 24684
  [07] NormalVideos   : 80000
  [08] RoadAccidents  : 23486
  [09] Robbery        : 41493
  [10] Shooting       : 7140
  [11] Shoplifting    : 24835
  [12] Stealing       : 44802
  [13] Vandalism      : 13626
  Total: 398577

Train samples (raw): 1266345 | Test samples: 111308
Client sizes (IID, clipped pool): [79716, 79716, 79715, 79715, 79715]
Freeze backbone: False
[Round 34/100] TrainLoss=0.0154 | Macro-F1=0.1559 | Micro-F1=0.5022 | Macro-AUC=0.7189 | Micro-AUC=0.8565 | W-AUC=0.7839
[Round 35/100] TrainLoss=0.0149 | Macro-F1=0.1536 | Micro-F1=0.5058 | Macro-AUC=0.7196 | Micro-AUC=0.8604 | W-AUC=0.7847
[Round 36/100] TrainLoss=0.0146 | Macro-F1=0.1505 | Micro-F1=0.5062 | Macro-AUC=0.7195 | Micro-AUC=0.8613 | W-AUC=0.7858
[Round 37/100] TrainLoss=0.0139 | Macro-F1=0.1506 | Micro-F1=0.5075 | Macro-AUC=0.7210 | Micro-AUC=0.8625 | W-AUC=0.7877
[Round 38/100] TrainLoss=0.0136 | Macro-F1=0.1550 | Micro-F1=0.5055 | Macro-AUC=0.7197 | Micro-AUC=0.8595 | W-AUC=0.7866
[Round 39/100] TrainLoss=0.0130 | Macro-F1=0.1530 | Micro-F1=0.5055 | Macro-AUC=0.7219 | Micro-AUC=0.8609 | W-AUC=0.7881
[Round 40/100] TrainLoss=0.0126 | Macro-F1=0.1515 | Micro-F1=0.5029 | Macro-AUC=0.7185 | Micro-AUC=0.8598 | W-AUC=0.7853
[Round 41/100] TrainLoss=0.0122 | Macro-F1=0.1527 | Micro-F1=0.5046 | Macro-AUC=0.7220 | Micro-AUC=0.8604 | W-AUC=0.7881
[Round 42/100] TrainLoss=0.0119 | Macro-F1=0.1489 | Micro-F1=0.5059 | Macro-AUC=0.7232 | Micro-AUC=0.8610 | W-AUC=0.7877
[Round 43/100] TrainLoss=0.0118 | Macro-F1=0.1526 | Micro-F1=0.5074 | Macro-AUC=0.7236 | Micro-AUC=0.8598 | W-AUC=0.7896
[Round 44/100] TrainLoss=0.0114 | Macro-F1=0.1530 | Micro-F1=0.5050 | Macro-AUC=0.7226 | Micro-AUC=0.8603 | W-AUC=0.7875
[Round 45/100] TrainLoss=0.0111 | Macro-F1=0.1540 | Micro-F1=0.5065 | Macro-AUC=0.7227 | Micro-AUC=0.8604 | W-AUC=0.7871
[Round 46/100] TrainLoss=0.0107 | Macro-F1=0.1506 | Micro-F1=0.5058 | Macro-AUC=0.7234 | Micro-AUC=0.8617 | W-AUC=0.7886
[Round 47/100] TrainLoss=0.0106 | Macro-F1=0.1507 | Micro-F1=0.5048 | Macro-AUC=0.7210 | Micro-AUC=0.8600 | W-AUC=0.7860
